"Redsys","Redsys"
"Enabled","Enabled"
"Title","Title"
"Environment","Environment"
"Real Enviroment: https://sis.redsys.es/sis/realizarPago/utf-8 Test Enviroment: https://sis-t.redsys.es:25443/sis/realizarPago/utf-8","Real Enviroment: https://sis.redsys.es/sis/realizarPago/utf-8 Test Enviroment: https://sis-t.redsys.es:25443/sis/realizarPago/utf-8"
"Commerce Name","Commerce Name"
"Commerce Number(FUC)","Commerce Number(FUC)"
"Secret Encrypted Key (SHA-256)","Secret Encrypted Key (SHA-256)"
"Terminal Number","Terminal Number"
"Transaction Type","Transaction Type"
"Allow TPV Languages","Allow TPV Languages"
"Create invoice automatically","Create invoice automatically"
"Only if payment is completed successfully","Only if payment is completed successfully"
"Send Email Customer Invoice","Send Email Customer Invoice"
"Recovery cart","Recovery cart"
"In case of failure the client does not lose Cart","In case of failure the client does not lose Cart"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Sort Order","Sort Order"
"Order canceled.","Order canceled."
"We are sorry, something was wrong with payment. Try again or select another payment method.","We are sorry, something was wrong with payment. Try again or select another payment method."
"Redirecting...","Redirecting..."
"(response:%1)","(response:%1)"
"TPV payment accepted. (response: %1, authorization: %1)","TPV payment accepted. (response: %1, authorization: %1)"
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"We can't save the invoice right now.","We can't save the invoice right now."
"You can't create an invoice without products.","You can't create an invoice without products."
"Incorrect response from Redsys.","Incorrect response from Redsys."
"Errors in POST data","Errors in POST data"
"Amount is diferent","Amount is diferent"
"The order no longer exists.","The order no longer exists."
"Email: ","Email: "
"Test Enviroment","Test Enviroment"
"Real Enviroment","Real Enviroment"
"Redirecting to Redsys TPV... Please wait.","Redirecting to Redsys TPV... Please wait."
"Thanks for trusting us. In a few seconds you will be redirected to the payment platform.","Thanks for trusting us. In a few seconds you will be redirected to the payment platform."
"If your browser does not redirect you automatically click <a href='javascript:void(0)' onclick='document.redsys_form.submit();'>here</a> to carry out the payment.","If your browser does not redirect you automatically click <a href='javascript:void(0)' onclick='document.redsys_form.submit();'>here</a> to carry out the payment."
